编号,文件名,动作名称,分类,角色外观,推荐用途,优先级,关键词,动作说明,画布尺寸,帧数,循环时长秒,透明背景,文件大小KB,SHA256,相对路径
012,012-线条小狗动态表情包.gif,抬腿踢踏舞,运动健身,黄色垂耳狗,点击互动,中,踢腿|跳舞|运动,高抬腿并左右摆动跳舞,250×250,7,0.49,是,854.4,BDCED00AA5E23E475DC037D679F94C870508F3A20604F08576A17B637A4DAAA6,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/012-线条小狗动态表情包.gif
013,013-线条小狗动态表情包.gif,低头流泪,负面情绪,黄色垂耳狗,低心情状态,中,流泪|委屈|水洼,低头哭泣并在脚边形成水洼,250×250,12,0.84,是,762.0,37D158DFAEEE79282F1867EB71AFB0EF409C37626DC32228739FC165291F7620,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/013-线条小狗动态表情包.gif
014,014-线条小狗动态表情包.gif,躺平翻滚,互动反馈,黄色立耳狗,受击反馈,中,躺平|翻滚|生气,贴地躺平后左右翻滚,250×250,22,1.54,是,881.4,74A03C47709375487E8F092B4E525C3FD5F3A8519CBD350BADBF39ECE950E31D,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/014-线条小狗动态表情包.gif
015,015-线条小狗动态表情包.gif,趴桌睡觉,工作学习,黄色垂耳狗,疲劳状态,中,桌子|加班|睡觉,坐在桌边逐渐趴下睡着,250×250,42,4.2,是,856.6,202A1A089EC77D5E20AB05B5CC794A20D6749FDF0D616514B6AC424E552E925E,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/015-线条小狗动态表情包.gif
016,016-线条小狗动态表情包.gif,钻被窝睡觉,睡眠休息,黄色垂耳狗,夜间睡眠,中,被窝|床铺|睡觉,在白色被窝中翻身并入睡,250×250,28,2.8,是,852.7,D010D3DA2641E83BF87AD5C8A7449B3F9556DB3F8938B3379324BD96FB68525D,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/016-线条小狗动态表情包.gif
017,017-线条小狗动态表情包.gif,白狗刷牙,日常生活,白色小狗,清洁互动,高,刷牙|牙刷|清洁,白色小狗拿着牙刷反复刷牙,500×476,19,1.9,是,736.4,3FBA5EABDCF60320F7554CD048A2CDC276543EB70039800793EB432443DDBE87,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/017-线条小狗动态表情包.gif
018,018-线条小狗动态表情包.gif,挥手扭动,互动反馈,白色小狗,点击互动,高,挥手|扭动|招呼,举起双手左右扭动打招呼,500×511,19,1.9,是,829.9,9C051CE7A4DDFE8DF49CEAB91A8A76B718BE51D84B7EE7D5BFA097D2DC719D11,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/018-线条小狗动态表情包.gif
019,019-线条小狗动态表情包.gif,淋浴洗澡,日常生活,白色小狗,清洁状态,高,淋浴|洗澡|搓洗,站在花洒下搓洗身体,500×497,8,0.8,是,813.4,B8E6B53D3D0CE9200B459518069DE1D972C540E30CF58269A1B48D26AE2DEFAC,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/019-线条小狗动态表情包.gif
020,020-线条小狗动态表情包.gif,花朵环绕欢呼,正面情绪,白色小狗,高心情状态,高,花朵|欢呼|开心,花朵出现时张开双手开心欢呼,500×494,11,1.1,是,895.1,BF1EB209ACF226DF51B8080743EAE5ABE780B31B2695BE11B0695767AAA791B5,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/020-线条小狗动态表情包.gif
021,021-线条小狗动态表情包.gif,刷牙漱口,日常生活,黄色立耳狗,清洁互动,中,牙刷|刷牙|漱口,拿牙刷认真刷牙,500×493,4,0.4,是,874.3,3DF51D5E0E55777578BBA581AF837456529F19FCA7F086D75BF7FDD02145BD8F,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/021-线条小狗动态表情包.gif
022,022-线条小狗动态表情包.gif,张嘴淋浴,日常生活,黄色垂耳狗,清洁状态,中,花洒|淋浴|张嘴,站在花洒下张嘴接水,500×503,24,2.4,是,803.3,F7ADC38D91DF8ABED6060C4E345E5FE451B691AD75C2AB945A60747EC1238D15,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/022-线条小狗动态表情包.gif
023,023-线条小狗动态表情包.gif,花香中转圈,正面情绪,黄色垂耳狗,特殊待机,中,花朵|转圈|开心,在绿色花朵环绕中开心旋转,500×512,11,1.1,是,875.5,1E18418B1D0CA726B58EBDB58676B68FAAE3949448275171B147A3CC420BF418,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/023-线条小狗动态表情包.gif
024,024-线条小狗动态表情包.gif,抠鼻发呆,待机动作,黄色垂耳狗,搞怪待机,低,抠鼻|发呆|搞怪,坐着抠鼻并保持呆滞表情,500×487,9,0.9,是,777.5,621515D23A9424E49ABA82C93F26E3A30AE2AD6A067F8B85D377EAB1686E16D9,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/024-线条小狗动态表情包.gif
025,025-线条小狗动态表情包.gif,天使翅膀扇动,装扮特效,黄色垂耳狗,特殊状态,中,天使|翅膀|扇动,背后出现蓝色翅膀并持续扇动,500×477,14,1.4,是,752.6,7A714874F3E831FCC894A48F350D2030D048FEA575363DB343A63CEB3D41E520,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/025-线条小狗动态表情包.gif
026,026-线条小狗动态表情包.gif,惊醒坐起,互动反馈,黄色垂耳狗,受惊反馈,中,惊醒|感叹号|坐起,从趴卧状态突然惊醒并坐起,250×250,36,2.52,是,786.5,7674E1C3E376FD1C199D89B6FCE9901C01DA1069ED5112A42B19747433F8EF8A,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/026-线条小狗动态表情包.gif
027,027-线条小狗动态表情包.gif,疑惑趴下,负面情绪,黄色垂耳狗,疑惑状态,中,问号|疑惑|趴下,头顶问号并短暂趴下再坐起,250×250,35,2.45,是,846.8,2BDEDD5E09C32EFE25D6D8CDEC6502F11109CFF7813952A537889CE5675929CF,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/027-线条小狗动态表情包.gif
028,028-线条小狗动态表情包.gif,瀑布泪,负面情绪,白色小狗,低心情状态,高,哭泣|瀑布泪|伤心,坐着持续流下两道夸张眼泪,150×150,4,0.4,是,705.0,9832FD83B9E91912DC3703505FD21B53B9F5DB42367BD2147497FEBE866EF97E,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/028-线条小狗动态表情包.gif
029,029-线条小狗动态表情包.gif,疑惑惊讶,互动反馈,白色小狗,点击反馈,高,问号|感叹号|疑惑,坐着抬头并显示问号和感叹号,150×149,16,1.6,是,725.9,233B18E264F70311BC58A73651BD48B4A3E21E2C6EAF958C6BF74E7FA534A1AE,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/029-线条小狗动态表情包.gif
030,030-线条小狗动态表情包.gif,啦啦队挥花球,运动健身,白色小狗,庆祝互动,高,花球|应援|跳跃,挥舞黄色花球并跳跃应援,250×250,7,0.63,是,708.7,E91A49B0DB11C7052EE28F0E1A56343C22CA158ABBF0A335FC013B0EDFADA7C2,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/030-线条小狗动态表情包.gif
031,031-线条小狗动态表情包.gif,举OK牌,互动反馈,白色小狗,确认反馈,高,OK|举牌|确认,手举OK木牌左右轻晃,250×250,7,0.91,是,864.8,FE697C00C7AF327823BD4FB07AFFB4D239F690ED4FBE88019EF2E774F695496A,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/031-线条小狗动态表情包.gif
032,032-线条小狗动态表情包.gif,抱爱心摇晃,爱心表达,白色小狗,好感互动,高,爱心|拥抱|摇晃,抱着大红心左右开心摇晃,320×300,14,0.98,是,888.5,9BCFFE63B9D04311DA0796C5E78D7EE4723E3F2FEA6EAE17911FA7D45B8A7DCE,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/032-线条小狗动态表情包.gif
033,033-线条小狗动态表情包.gif,发射爱心,爱心表达,白色小狗,好感互动,高,爱心|发射|示爱,从胸前连续向外发射红心,250×250,9,0.81,是,751.4,7A141B7CB217FCBDC7B7DBA1583AB0F739A51084F6594DB3F96FD7DB4E6BCEBA,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/033-线条小狗动态表情包.gif
034,034-线条小狗动态表情包.gif,音乐踏步舞,音乐娱乐,白色小狗,特殊待机,高,音乐|踏步|跳舞,伴随音符左右踏步跳舞,250×250,5,0.5,是,792.5,463B87DDD07B65A7CCA3508FDBC04987F36F2A4AE2D4E363B3620402C8AFA039,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/034-线条小狗动态表情包.gif
035,035-线条小狗动态表情包.gif,泪流满地,负面情绪,白色小狗,低心情状态,高,哭泣|眼泪|泪流满地,白色小狗哭倒在大片蓝色泪水中,150×150,32,3.4,是,809.7,518BBDA619A1310D817C70B950F87A369517F7289153FA61065F6C4C839CA455,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/035-线条小狗动态表情包.gif
036,036-线条小狗动态表情包.gif,转身扭舞,互动反馈,白色小狗,点击互动,高,转身|扭动|跳舞,前后转身并左右扭动身体,150×152,18,1.8,是,895.3,BDA84A84320B1285B4F3C4B9072AD387A4BB4934E1FD2FF7A686F73C188837FF,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/036-线条小狗动态表情包.gif
037,037-线条小狗动态表情包.gif,出现啦,互动反馈,白色小狗,出现或叫醒,高,出现|探头|举手,白色小狗从不同颜色的遮挡后探头出现,250×250,21,2.8,是,854.4,AA81736ECC24AFC1674D0911C13E1A13498D520DEAEF071A12C6CC7A0A17B4A3,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/037-线条小狗动态表情包.gif
038,038-线条小狗动态表情包.gif,爱心环绕跳舞,爱心表达,白色小狗,好感互动,高,爱心|跳舞|开心,爱心环绕后放大并开心跳舞,170×170,11,0.77,是,816.4,DE36617913E6C9C5C83E6165C3FBFB1E430D30F4BBA5FFD92A6DB569BA91E710,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/038-线条小狗动态表情包.gif
039,039-线条小狗动态表情包.gif,托举大爱心,爱心表达,白色小狗,好感互动,高,爱心|托举|拥抱,抱住并托起一颗大红心,250×250,22,2.8,是,742.2,E7BBEBCDC39ABF47800F8E6835E87ACEA747819A98919EAF2E41456C2571727A,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/039-线条小狗动态表情包.gif
040,040-线条小狗动态表情包.gif,听音乐点头,音乐娱乐,白色小狗,自然待机,高,音乐|点头|律动,伴随彩色音符左右点头律动,250×250,14,0.98,是,898.6,4695600F330E876E97059B35991EB8F63C7D63C1ACA0D9B727B2759CF588DDB1,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/040-线条小狗动态表情包.gif
041,041-线条小狗动态表情包.gif,被窝翻身,睡眠休息,黄色垂耳狗,夜间睡眠,中,被窝|翻身|睡觉,躺在白色被窝中翻身调整睡姿,250×250,28,2.8,是,844.6,FEF9BABE26A60798D33AFAD9CA55BBC4B3F4C509E99F37F87CD1D3BFAE7D06FE,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/041-线条小狗动态表情包.gif
042,042-线条小狗动态表情包.gif,尖叫炸毛缩小,互动反馈,白色小狗,受惊反馈,高,尖叫|炸毛|缩小,受到惊吓后尖叫炸毛并缩小,250×250,22,2.43,是,748.6,6EDE4CB5B788BB91BC75D5A15F40FD83517CF4DC71B194314B9D5DC80C8B1769,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/042-线条小狗动态表情包.gif
043,043-线条小狗动态表情包.gif,长椅点头打盹,睡眠休息,黄色垂耳狗,困倦待机,中,长椅|点头|打盹,坐在长椅上反复低头打盹,250×250,22,1.54,是,856.2,EAA693989B0E67FC4903F16D4FDF35D189B5239AD99430202DD192D45861B544,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/043-线条小狗动态表情包.gif
044,044-线条小狗动态表情包.gif,加班文件堆,工作学习,白色小狗,工作状态,高,文件|加班|哭泣,被成堆文件包围并疲惫哭泣,450×447,20,4.8,是,749.4,CA9E63E1A80ED43569D37D56520785D410B29F0EA3B9E3624D745C69E11E75D8,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/044-线条小狗动态表情包.gif
045,045-线条小狗动态表情包.gif,生日礼花,节日庆祝,白色小狗,生日事件,高,生日帽|礼花|庆祝,戴生日帽在彩色礼花中庆祝,500×513,14,1.4,是,776.3,F1C2CD1694E523AEB95BA3967121CFBA671200C1B8ACB76C4FBA9EC1BE9FE201,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/045-线条小狗动态表情包.gif
046,046-线条小狗动态表情包.gif,贴地翻滚,移动出行,白色小狗,随机横向巡游,高,贴地|翻滚|左右移动,白色小狗贴着地面反复翻滚,170×170,30,2.1,是,772.4,08E8E0D9DE1A158A3F89455716CF117932D4B7D22FD283FA1946865ABAECD4F8,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/046-线条小狗动态表情包.gif
047,047-线条小狗动态表情包.gif,摸头拥抱伙伴,双宠互动,白色加黄色双宠,伙伴互动,中,摸头|拥抱|爱心,白色小狗从背后摸头并拥抱黄色小狗,170×170,28,1.96,是,816.9,C654CBF785499C041E6993547EB907D69EDC54B8D79EF9378BFF208AD4DA3B6C,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/047-线条小狗动态表情包.gif
048,048-线条小狗动态表情包.gif,伙伴依偎,双宠互动,白色加黄色双宠,伙伴待机,中,依偎|拥抱|爱心,黄色和白色小狗互相依偎,170×170,49,3.43,是,827.0,040E990A44AA5CDA2096D93B8F96775CAB497DD6415ADFB456647DBDD1D5D3B7,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/048-线条小狗动态表情包.gif
049,049-线条小狗动态表情包.gif,闪亮起身欢呼,正面情绪,黄色垂耳狗,高心情状态,中,闪光|起身|欢呼,从坐姿起身并在闪光中欢呼,170×170,8,0.56,是,710.1,32277A897F50081073E23C2677F4E098241DB6EE748AF529C868A16DFF4DBEDA,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/049-线条小狗动态表情包.gif
050,050-线条小狗动态表情包.gif,趴地伸展跳起,运动健身,黄色垂耳狗,点击互动,中,伸展|趴地|跳起,趴下伸展后快速跃起再落地,170×170,23,1.61,是,846.0,F662FD6E436F15965A3755B11D2484D102F33038CA07BDDF3662BA1687C2E518,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/050-线条小狗动态表情包.gif
051,051-线条小狗动态表情包.gif,双宠欢呼跌倒,双宠互动,白色加黄色双宠,伙伴互动,中,欢呼|跌倒|双宠,两只小狗并肩欢呼后一起跌倒再站起,170×170,30,2.1,是,739.6,0748317B32D3A211472CA24CE64043F4576D25E107298C1057FAC9870C17B748,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/051-线条小狗动态表情包.gif
052,052-线条小狗动态表情包.gif,双宠追逐赛,双宠互动,白色加黄色双宠,移动动作,中,追逐|竞跑|双宠,黄色和白色小狗一前一后快速追逐,170×170,11,0.55,是,772.6,EB827F24C5EE83672E238A7A1ACAAABF049DAFD2B7E3DE255FFF25264ED7BC3F,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/052-线条小狗动态表情包.gif
053,053-线条小狗动态表情包.gif,双宠交错奔跑,双宠互动,白色加黄色双宠,移动动作,中,奔跑|交错|双宠,两只小狗交错位置持续奔跑,170×170,9,0.63,是,857.1,3D182383226C91601868E3103E5E3DEB39D221E96D1B13DD41378842E29406E0,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/053-线条小狗动态表情包.gif
054,054-线条小狗动态表情包.gif,胸口爱心弹出,爱心表达,白色小狗,好感互动,高,爱心|胸口|弹出,从胸口弹出粉色爱心再收回,170×170,13,0.91,是,893.1,1767ED3D385EBD0D4F1CC737AD233DF2F4158AC37371717A012E3662B7E94413,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/054-线条小狗动态表情包.gif
055,055-线条小狗动态表情包.gif,爱心堆中拥抱,爱心表达,白色小狗,好感互动,高,爱心|拥抱|堆叠,站在爱心堆中轮流抱起爱心,170×170,18,1.26,是,707.0,972587173935F81AFD1896E1562072B3894E643C4D8FE3C2912F24186AE4054D,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/055-线条小狗动态表情包.gif
056,056-线条小狗动态表情包.gif,抛接爱心,爱心表达,黄色立耳狗,好感互动,中,爱心|抛接|开心,抛出并接住粉色爱心,170×170,14,0.98,是,750.0,137246207F24AF45BD993A9FB40C1822D018A17AD9712B94F5F78BE8677C717C,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/056-线条小狗动态表情包.gif
057,057-线条小狗动态表情包.gif,爱心堆中抛心,爱心表达,黄色立耳狗,好感互动,中,爱心|抛心|堆叠,站在爱心堆中抛接大爱心,170×170,17,1.19,是,875.8,A56D4CB94416B97E5082D8D200DB7A4775F5084492D42C95F5C51E938652E9DE,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/057-线条小狗动态表情包.gif
058,058-线条小狗动态表情包.gif,挥魔法棒旋转,装扮特效,黄色立耳狗,特殊互动,中,魔法棒|星星|旋转,挥动星星魔法棒并旋转身体,170×170,52,3.64,是,749.3,2F99972512E3AEB8212B12C04FC4C6E4FB52DAEC9F8FC439FEDF62292BBBC06D,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/058-线条小狗动态表情包.gif
059,059-线条小狗动态表情包.gif,白狗礼盒惊喜,节日庆祝,白色小狗,礼物事件,高,礼盒|惊喜|生日帽,白色小狗戴帽从礼盒中探出,170×170,54,3.78,是,777.0,DACFE786CC32437557AC4E795228EF6913C354D339DD76A7D81B464E8B6B163D,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/059-线条小狗动态表情包.gif
060,060-线条小狗动态表情包.gif,黄狗礼盒惊喜,节日庆祝,黄色垂耳狗,礼物事件,中,礼盒|惊喜|生日帽,黄色小狗戴帽从礼盒中探出,170×170,43,3.01,是,805.7,219B13B3CA4DF598B023801FDA7A98BDE0F32C7DC420398C9E912BAF3A48DEA3,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/060-线条小狗动态表情包.gif
061,061-线条小狗动态表情包.gif,举起巨型爱心,爱心表达,白色小狗,好感互动,高,巨型爱心|举起|示爱,将巨型粉色爱心举过头顶再放下,500×497,7,0.7,是,880.1,E2C58AA7682576FECCCF46981DF8C44C43AD2E7D1BBA5B1E632CCC279A1D1A58,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/061-线条小狗动态表情包.gif
062,062-线条小狗动态表情包.gif,亲吻白狗脸颊,双宠互动,白色加黄色双宠,伙伴互动,中,亲吻|脸颊|双宠,黄色小狗反复亲吻白色小狗脸颊,500×499,8,0.8,是,763.6,C821916AC39794C98F86C2F2FEB9CFB614DA255A4CA5A73388495FC495EEF1CF,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/062-线条小狗动态表情包.gif
063,063-线条小狗动态表情包.gif,吹出小爱心,爱心表达,黄色立耳狗,好感互动,中,吹心|爱心|示爱,从手中连续吹出小爱心,490×500,8,0.8,是,808.2,751EFE0B3908F0E68E65A277630209097001CBFEC779CC82CE50179BB5BA2EA4,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/063-线条小狗动态表情包.gif
064,064-线条小狗动态表情包.gif,黄狗巨型爱心,爱心表达,黄色立耳狗,好感互动,中,巨型爱心|举起|拥抱,抱住并举起巨型粉色爱心,500×500,22,2.2,是,736.6,E112E554AC062DED7F4DEC9229EEDEE33367908FE28DCA236818AC0478785FD1,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/064-线条小狗动态表情包.gif
065,065-线条小狗动态表情包.gif,抱紧白狗摇晃,双宠互动,白色加黄色双宠,伙伴互动,中,拥抱|摇晃|双宠,黄色小狗抱紧白色小狗来回摇晃,500×494,16,1.6,是,819.3,0A53749CCAC1841B1FBF50680A382F19B39AA4EAFA2BF686F998533AC996A48E,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/065-线条小狗动态表情包.gif
066,066-线条小狗动态表情包.gif,坐着掉眼泪,负面情绪,黄色垂耳狗,低心情状态,中,眼泪|委屈|坐姿,坐着安静流下眼泪,500×512,33,3.3,是,816.2,53E6DD7F02CD13A1AF2AD5275D49BD1A21D061C19247DFA9C716717A8494AA68,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/066-线条小狗动态表情包.gif
067,067-线条小狗动态表情包.gif,招手欢呼,互动反馈,黄色垂耳狗,点击互动,中,招手|欢呼|打招呼,左右摆动并抬手打招呼,500×494,32,3.2,是,830.8,3641156664A5DC20AAED0B1B9CA38BABC1E712B89162F87DDF7D6ECB618C7F48,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/067-线条小狗动态表情包.gif
068,068-线条小狗动态表情包.gif,亲吻后伙伴变大,双宠互动,白色加黄色双宠,伙伴互动,低,亲吻|变大|双宠,黄色小狗亲吻白色小狗后白狗放大出现,500×494,34,3.4,是,764.0,CBAFCCDA86CDF7A6CA64BEE33D244EA3E2C9D68C0B02988802D33C1EFEAF49BF,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/068-线条小狗动态表情包.gif
069,069-线条小狗动态表情包.gif,端菜上餐,食物进食,黄色立耳狗,喂食互动,中,端菜|上餐|食物,双手端着两盘食物并鞠躬上菜,500×491,28,2.8,是,889.9,412F8D53CE1850E3D5A0D88762CB003915E152C1D279F0671597916351303CB3,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/069-线条小狗动态表情包.gif
070,070-线条小狗动态表情包.gif,累趴头晕,负面情绪,黄色垂耳狗,低体力状态,中,累趴|头晕|疲惫,趴在地面张嘴喘气并出现眩晕圈,500×488,25,2.5,是,715.6,7A603BBEBF3F29E243561A67D43AAFBD3A739CF6796ADAD0F49BC372F106D2B1,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/070-线条小狗动态表情包.gif
071,071-线条小狗动态表情包.gif,趴软垫睡觉,睡眠休息,黄色垂耳狗,睡眠状态,中,软垫|趴睡|呼吸,趴在黄色软垫上平稳睡觉,500×492,10,1.0,是,897.5,F32E78D6E4692B8AFC14B6888142B28D91CE7EE3203DE5673338DF027934EC88,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/071-线条小狗动态表情包.gif
072,072-线条小狗动态表情包.gif,爱心气球爬行,爱心表达,黄色立耳狗,好感互动,中,气球|爱心|爬行,背着爱心气球在地面爬行,500×515,8,0.8,是,886.8,9617661388229B9EFF7836B1407C6665141F5EC7F596C84E9DD1BF370AE4B7F4,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/072-线条小狗动态表情包.gif
073,073-线条小狗动态表情包.gif,紧张冒汗,负面情绪,黄色垂耳狗,紧张状态,中,冒汗|紧张|发抖,双手贴脸并持续冒汗发抖,500×491,5,0.5,是,841.7,4CC5EEDB0F1427007B39036B6918AA3500A619200AC24CA0FA293A83ABB69606,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/073-线条小狗动态表情包.gif
